instance_id,user_id,text,politeness,gender,race,age,occupation,education,gpt-5.2 (zero shot prompting),claude-sonnet-4.6 (zero shot prompting),claude-opus-4.6 (zero shot prompting),gemini-3.1-pro (zero shot prompting),claude-haiku-4.5 (zero shot prompting),llama-3-8b (zero shot prompting),mistral-large-2512 (zero shot prompting),gpt-oss-120b (zero shot prompting),gpt-5.2 (few shot),claude-sonnet-4.6 (few shot),claude-opus-4.6 (few shot),gemini-3.1-pro (few shot),claude-haiku-4.5 (few shot),llama-3-8b (few shot),mistral-large-2512 (few shot),gpt-oss-120b (few shot),gpt-5.2 (persona prompt),claude-sonnet-4.6 (persona prompt),claude-opus-4.6 (persona prompt),gemini-3.1-pro (persona prompt),claude-haiku-4.5 (persona prompt),llama-3-8b (persona prompt),mistral-large-2512 (persona prompt),gpt-oss-120b (persona prompt)
3104,0,"Can you anticipate what's next in the WWF ?

I can and it's the Rock whoopin ass on the WCW",1.0,Woman,White,25-29,Employed,College degree,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0
2888,0,"Good Morning,



Can you help me prepare a meal? I'm looking for dinner ideas.",3.0,Woman,White,25-29,Employed,College degree,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
3646,0,"Hey Joseph Step,



I wish you a very merry Christmas! I don't know if you work all day or what your situation is, but please don't spend Christmas by yourself! Your mother would hate me if you did, haha. Also, no, I'm not going to give or sell you my car!



T. ",4.0,Woman,White,25-29,Employed,College degree,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0
3210,0,"I'll keep reviewing the B plan just in case, but otherwise, I'll try to get John to go through all the pages and presentation.",4.0,Woman,White,25-29,Employed,College degree,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0
3483,0,"Hey bunda,
How are you doing this morning?
I just took some medicine and I am drinking a sprite.  Hoon was cold this morning in the house, running around making her lunch.. no wonder you were cold.  I hope you are having a great day!
Love
ME",2.0,Woman,White,25-29,Employed,College degree,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0
412,0,Attached is a further installment of the EWS Tax Update summarizing the many transactions supported by the EWS Tax Group during the past several weeks.  Please do not hesitate to call me at x30938 to discuss any of the described transactions.  Best regards to all.  SHD.,5.0,Woman,White,25-29,Employed,College degree,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0
1026,0,I think it could maybe be beneficial for you to look into money put options! They have a high delta so they move almost dollar for dollar with the stock.,3.0,Woman,White,25-29,Employed,College degree,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0
2181,0,"Dear Tana,

I just sent the executed CA to your fax machine. ",4.0,Woman,White,25-29,Employed,College degree,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0
837,0,I have recently changed jobs which has resulted in my new email address. Please send any future correspondence to his email address. Thank you.,5.0,Woman,White,25-29,Employed,College degree,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
388,0,I would like to review things later this afternoon if you have time.  I have some prior obligations but I will be available in 30 minutes if that works.,5.0,Woman,White,25-29,Employed,College degree,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
